Date Time          ,Battery Voltage
2019-01-15 17:09:30,8.52
2019-01-15 17:09:42,8.52
2019-01-15 17:09:54,8.52
2019-01-15 17:10:06,8.52
2019-01-15 17:10:18,8.52
2019-01-15 17:10:30,8.52
2019-01-15 17:10:42,8.53
2019-01-15 17:10:54,8.52
2019-01-15 17:11:06,8.52
2019-01-15 17:11:18,8.51
2019-01-15 17:11:30,8.52
2019-01-15 17:11:42,8.53
2019-01-15 17:11:54,8.46
2019-01-15 17:12:06,8.51
2019-01-15 17:12:18,8.46
2019-01-15 17:12:30,8.5
2019-01-15 17:12:42,8.53
2019-01-15 17:12:54,8.52
2019-01-15 17:13:06,8.52
2019-01-15 17:13:18,8.51
2019-01-15 17:13:30,8.52
2019-01-15 17:13:42,8.52
2019-01-15 17:13:55,8.5
2019-01-15 17:14:07,8.45
2019-01-15 17:14:19,8.52
2019-01-15 17:14:31,8.51
2019-01-15 17:14:43,8.52
2019-01-15 17:14:55,8.52
2019-01-15 17:15:07,8.52
2019-01-15 17:15:19,8.52
2019-01-15 17:15:31,8.5
2019-01-15 17:15:43,8.51
2019-01-15 17:15:55,8.51
2019-01-15 17:16:07,8.51
2019-01-15 17:16:19,8.52
2019-01-15 17:16:31,8.5
2019-01-15 17:16:43,8.51
2019-01-15 17:16:55,8.52
2019-01-15 17:17:07,8.52
2019-01-15 17:17:19,8.52
2019-01-15 17:17:31,8.51
2019-01-15 17:17:43,8.49
2019-01-15 17:17:55,8.52
2019-01-15 17:18:07,8.52
2019-01-15 17:18:19,8.52
2019-01-15 17:18:31,8.51
2019-01-15 17:18:43,8.52
2019-01-15 17:18:55,8.49
2019-01-15 17:19:07,8.51
2019-01-15 17:19:19,8.51
2019-01-15 17:19:31,8.51
2019-01-15 17:19:43,8.51
2019-01-15 17:19:55,8.5
2019-01-15 17:20:07,8.52
2019-01-15 17:20:19,8.51
2019-01-15 17:20:31,8.52
2019-01-15 17:20:43,8.5
2019-01-15 17:20:55,8.52
2019-01-15 17:21:07,8.51
2019-01-15 17:21:19,8.5
2019-01-15 17:21:31,8.49
2019-01-15 17:21:43,8.51
2019-01-15 17:21:55,8.5
2019-01-15 17:22:07,8.51
2019-01-15 17:22:19,8.51
2019-01-15 17:22:31,8.49
2019-01-15 17:22:43,8.51
2019-01-15 17:22:55,8.5
2019-01-15 17:23:07,8.5
2019-01-15 17:23:19,8.49
2019-01-15 17:23:31,8.51
2019-01-15 17:23:43,8.48
2019-01-15 17:23:55,8.48
2019-01-15 17:24:07,8.49
2019-01-15 17:24:19,8.5
2019-01-15 17:24:31,8.49
2019-01-15 17:24:43,8.49
2019-01-15 17:24:55,8.5
2019-01-15 17:25:07,8.49
2019-01-15 17:25:19,8.5
2019-01-15 17:25:31,8.51
2019-01-15 17:25:43,8.49
2019-01-15 17:25:55,8.49
2019-01-15 17:26:07,8.5
2019-01-15 17:26:19,8.48
2019-01-15 17:26:31,8.5
2019-01-15 17:26:43,8.49
2019-01-15 17:26:55,8.5
2019-01-15 17:27:07,8.49
2019-01-15 17:27:19,8.49
2019-01-15 17:27:31,8.5
2019-01-15 17:27:43,8.49
2019-01-15 17:27:55,8.51
2019-01-15 17:28:07,8.49
2019-01-15 17:28:19,8.47
2019-01-15 17:28:31,8.48
2019-01-15 17:28:43,8.48
2019-01-15 17:28:55,8.49
2019-01-15 17:29:07,8.5
2019-01-15 17:29:19,8.49
2019-01-15 17:29:31,8.48
2019-01-15 17:29:43,8.48
2019-01-15 17:29:55,8.47
2019-01-15 17:30:07,8.48
2019-01-15 17:30:19,8.48
2019-01-15 17:30:31,8.47
2019-01-15 17:30:44,8.48
2019-01-15 17:30:56,8.48
2019-01-15 17:31:08,8.49
2019-01-15 17:31:20,8.48
2019-01-15 17:31:32,8.47
2019-01-15 17:31:44,8.48
2019-01-15 17:31:56,8.47
2019-01-15 17:32:08,8.47
2019-01-15 17:32:20,8.48
2019-01-15 17:32:32,8.49
2019-01-15 17:32:44,8.47
2019-01-15 17:32:56,8.48
2019-01-15 17:33:08,8.47
2019-01-15 17:33:20,8.46
2019-01-15 17:33:32,8.48
2019-01-15 17:33:44,8.48
2019-01-15 17:33:56,8.48
2019-01-15 17:34:08,8.47
2019-01-15 17:34:20,8.47
2019-01-15 17:34:32,8.48
2019-01-15 17:34:44,8.47
2019-01-15 17:34:56,8.47
2019-01-15 17:35:08,8.47
2019-01-15 17:35:20,8.47
2019-01-15 17:35:32,8.49
2019-01-15 17:35:44,8.47
2019-01-15 17:35:56,8.47
2019-01-15 17:36:08,8.48
2019-01-15 17:36:20,8.46
2019-01-15 17:36:32,8.47
2019-01-15 17:36:44,8.48
2019-01-15 17:36:56,8.48
2019-01-15 17:37:08,8.47
2019-01-15 17:37:20,8.48
2019-01-15 17:37:32,8.48
2019-01-15 17:37:44,8.47
2019-01-15 17:37:56,8.48
2019-01-15 17:38:08,8.46
2019-01-15 17:38:20,8.46
2019-01-15 17:38:32,8.47
